IE_XML_ID;IE_NAME
3260;"Полотенцесушитель водяной Олимп М-образный 600х500 мм., выход 1"""
3262;"Полотенцесушитель водяной Олимп М-образный 500х700 мм., выход 1"""
3266;"Полотенцесушитель водяной Олимп М-образный с полочкой 500х800 мм., выход 1"""
3267;Полотенцесушитель водяной Олимп Фокстрот 320х400 мм.
3272;Полотенцесушитель водяной Олимп Фокстрот Лиана 600х600 мм.
3273;Полотенцесушитель водяной Олимп Фокстрот Люкс 600х500 мм.
3277;Полотенцесушитель электрический Олимп ES-образный 500х600 мм.
3279;"Полотенцесушитель водяной Олимп М-образный 500*500 мм. выход 3/4"""
3280;"Полотенцесушитель водяной Олимп М-образный 500*600 мм. выход 3/4"""
3281;"Полотенцесушитель водяной Олимп М-образный 600*500 мм. выход 3/4"""
3282;"Полотенцесушитель водяной Олимп М-образный 600*600 мм. выход 3/4"""
3283;Полотенцесушитель электрический Олимп E-образный 500х500 мм.
3284;Полотенцесушитель с сухим ТЭНом Олимп Лесенка Дуга СТ4 400х600 мм.
